#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	100.0	0.0300585966226	3060646	91999
k__Bacteria|p__Verrucomicrobia	68.13409	0.0204801503742	5174086	105966
k__Bacteria|p__Bacteroidetes	16.15976	0.00485739750446	4234739	20570
k__Bacteria|p__Firmicutes	7.87866	0.00236821362274	2645593	6265
k__Bacteria|p__Actinobacteria	7.82749	0.00235283512125	3230214	7600
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	68.13409	0.0204801503742	5638192	115471
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16.15976	0.00485739750446	3794378	18431
k__Bacteria|p__Actinobacteria|c__Actinobacteria	7.82749	0.00235283512125	3230214	7600
k__Bacteria|p__Firmicutes|c__Bacilli	6.45842	0.00194130913627	2708875	5259
k__Bacteria|p__Firmicutes|c__Clostridia	1.42024	0.000426904486472	2874996	1227
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	68.13409	0.0204801503742	5638192	115471
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	16.15976	0.00485739750446	3794378	18431
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	7.82749	0.00235283512125	1842475	4335
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6.45842	0.00194130913627	2010119	3902
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.42024	0.000426904486472	3127383	1335
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	68.13409	0.0204801503742	3724611	76281
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	16.15976	0.00485739750446	3390441	16469
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	7.82749	0.00235283512125	1842475	4335
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	6.45842	0.00194130913627	2064046	4007
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.0379	0.000311979351853	3752948	1171
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.38234	0.000114925134619	3352514	385
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	68.13409	0.0204801503742	2664102	54561
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	16.15976	0.00485739750446	3390441	16469
