#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance
k__Bacteria	98.78356
k__Viruses	1.21644
k__Bacteria|p__Verrucomicrobia	63.75591
k__Bacteria|p__Actinobacteria	17.00838
k__Bacteria|p__Bacteroidetes	9.55617
k__Bacteria|p__Firmicutes	8.4631
k__Viruses|p__Viruses_noname	1.21644
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	63.75591
k__Bacteria|p__Actinobacteria|c__Actinobacteria	17.00838
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	9.55617
k__Bacteria|p__Firmicutes|c__Bacilli	8.28966
k__Viruses|p__Viruses_noname|c__Viruses_noname	1.21644
k__Bacteria|p__Firmicutes|c__Clostridia	0.17344
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	63.75591
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	16.81221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	9.55617
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6.83488
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.45478
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	1.21644
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.19617
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.17344
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	63.75591
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	16.81221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	9.55617
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	6.83488
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	1.45478
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae	1.21644
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.19617
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.17344
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	63.75591
