#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	51.41179
k__Bacteria|p__Verrucomicrobia	29.57803
k__Bacteria|p__Actinobacteria	15.23071
k__Bacteria|p__Bacteroidetes	3.77947
k__Bacteria|p__Firmicutes|c__Bacilli	49.65699
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	29.57803
k__Bacteria|p__Actinobacteria|c__Actinobacteria	15.23071
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3.77947
k__Bacteria|p__Firmicutes|c__Clostridia	1.75481
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	47.31974
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	29.57803
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	14.67549
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3.77947
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2.33724
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.75481
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.55521
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	47.31974
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	29.57803
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	14.67549
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3.77947
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2.33724
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.75481
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.55521
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	47.31974
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	29.57803
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	14.67549
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	3.77947
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	2.33724
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	1.59243
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Enterorhabdus	0.55521
