#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	100.0	0.0480447049018	3060646	147048
k__Bacteria|p__Actinobacteria	36.24226	0.0174124884225	3230214	56246
k__Bacteria|p__Firmicutes	29.30752	0.0140807128727	2645593	37252
k__Bacteria|p__Verrucomicrobia	28.77805	0.0138263297215	5174086	71539
k__Bacteria|p__Bacteroidetes	5.67216	0.00272517388509	4234739	11540
k__Bacteria|p__Actinobacteria|c__Actinobacteria	36.24226	0.0174124884225	3230214	56246
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	28.77805	0.0138263297215	5638192	77956
k__Bacteria|p__Firmicutes|c__Bacilli	26.54532	0.0127536191333	2708875	34548
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	5.67216	0.00272517388509	3794378	10340
k__Bacteria|p__Firmicutes|c__Clostridia	2.76221	0.00132709373943	2874996	3815
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	36.05554	0.017322777455	1842475	31917
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	28.77805	0.0138263297215	5638192	77956
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	24.78312	0.0119069764374	2010119	23934
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	5.67216	0.00272517388509	3794378	10340
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2.76221	0.00132709373943	3127383	4150
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.7622	0.000846642695878	3407631	2885
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.18672	8.97109675736e-05	2484432	223
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	36.05554	0.017322777455	1842475	31917
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	28.77805	0.0138263297215	3724611	51498
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	24.78312	0.0119069764374	2064046	24577
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	5.67216	0.00272517388509	3390441	9240
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.82628	0.000877433233114	3752948	3293
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	1.7622	0.000846642695878	2461214	2084
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.93592	0.000449660506318	3352514	1507
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.18672	8.97109675736e-05	2484432	223
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	36.05554	0.017322777455	2176402	37701
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	28.77805	0.0138263297215	2664102	36835
