#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	100.0	0.0572317205437	3060646	175166
k__Bacteria|p__Bacteroidetes	78.72943	0.0450582059524	4234739	190810
k__Bacteria|p__Actinobacteria	10.19046	0.00583217532126	3230214	18839
k__Bacteria|p__Firmicutes	7.55262	0.00432249292185	2645593	11436
k__Bacteria|p__Proteobacteria	3.5275	0.00201884634822	3135748	6331
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	78.72943	0.0450582059524	3794378	170968
k__Bacteria|p__Actinobacteria|c__Actinobacteria	10.19046	0.00583217532126	3230214	18839
k__Bacteria|p__Firmicutes|c__Clostridia	4.52453	0.00258946512893	2874996	7445
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2.91815	0.00167010645231	4319058	7213
k__Bacteria|p__Firmicutes|c__Bacilli	2.73272	0.00156398513782	2708875	4237
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.60935	0.000348739895906	3060202	1067
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.29537	0.000169042655097	2612847	442
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	78.72943	0.0450582059524	3794378	170968
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	6.30146	0.00360643366707	1842475	6645
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	4.52453	0.00258946512893	3127383	8098
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	3.889	0.00222574165419	2484432	5530
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2.91815	0.00167010645231	3562128	5949
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.73272	0.00156398513782	2010119	3144
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.60935	0.000348739895906	4002833	1396
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.29537	0.000169042655097	2612847	442
